source_object,source_outlet,destination_object,destination_inlet,description,is_recommended,audio_signal_flow,performance_impact,compatibility_issues,connection_type,latency_impact,vector_size_dependency,feedback_safe
cycle~,0,gain~,0,基本的なオーディオ信号パス。サイン波からゲイン調整へのルーティング,1,1,低,なし,,,,
phasor~,0,*~,0,フェーズ信号からスケール。0-1の位相信号を振幅変調に使用,1,1,低,なし,,,,
jit.matrix,0,jit.op,0,マトリックス処理チェーン。行列データを演算処理に送る,1,0,中,GPUモードで注意。GPU/CPU間の転送が発生する場合あり,,,,
metro,0,counter,0,タイミングシーケンス。一定間隔のバングでカウンター進行,1,0,低,なし,,,,
buffer~,0,wave~,0,バッファ参照パターン。保存されたサンプルを波形表示,1,0,低,なし,,,,
osc~,0,*~,0,オシレーターからスケーリング。波形生成と振幅調整の基本パターン,1,1,低,なし,,,,
noise~,0,filter~,0,ノイズソースからフィルタリング。ノイズジェネレーターからフィルター,1,1,低,なし,,,,
line~,0,*~,0,エンベロープコントロール。オーディオレートの変調信号として使用,1,1,低,なし,,,,
adc~,0,dac~,0,オーディオ入出力パス。マイク入力からスピーカー出力へ直接接続,1,1,低,オーディオループバックに注意,,,,
jit.grab,0,jit.qt.movie,0,カメラキャプチャから録画。ライブビデオを録画に使用,1,0,高,CPUやGPU負荷に注意,,,,
jit.qt.movie,0,jit.gl.texture,0,ビデオからGLテクスチャ。ムービーファイルを3Dシーンに取り込み,1,0,中,GPUメモリ使用量に注意,,,,
live.gain~,0,dac~,0,ゲイン調整から出力。UIコントロール付きレベル調整からの出力,1,1,低,なし,,,,
live.dial,0,live.numbox,0,ダイヤルから数値表示。UIコントロールと数値表示の連携,1,0,なし,なし,,,,
jit.gl.gridshape,0,jit.gl.render,0,3Dオブジェクトからレンダラー。基本的な3Dオブジェクト表示,1,0,中,なし,,,,
mc.pack~,0,mc.*~,0,マルチチャンネルバンドル作成と処理。複数チャンネルの一括処理,1,1,低,なし,,,,
mc.unpack~,0,poly~,0,マルチチャンネル分解からポリフォニック処理。チャンネル分離と処理,1,1,中,複雑な接続で混乱しやすい,,,,
live.step,0,noteout,0,ステップシーケンサーからMIDI出力。パターン生成とMIDI送信,1,0,低,MIDI機器接続が必要,,,,
fluid.bufcompose~,0,fluid.bufspectralshape~,0,バッファ内容の合成から分析。機械学習用データ前処理,1,0,高,大きなバッファで処理時間増加,,,,
jit.gencoord,0,jit.gl.mesh,0,座標生成からメッシュ作成。複雑な3D形状の設計,1,0,中,頂点数に比例して負荷増加,,,,
dict,0,dict.view,0,辞書内容の表示。データ構造の視覚化,1,0,低,大規模な辞書でパフォーマンス低下,,,,
coll,0,zl,0,コレクションからリスト処理。保存データのリスト操作,1,0,低,なし,,,,
pattrstorage,0,autopattr,0,プリセット管理からパラメータ自動接続。状態保存と復元,1,0,低,複雑なパッチで命名競合の可能性,,,,
bach.roll,0,bach.quantize,0,ロールエディタから量子化。音楽記譜データの処理,1,0,中,なし,,,,
jit.matrix,0,jit.gl.videoplane,0,マトリックスからビデオプレーン。ビデオデータの3D空間表示,1,0,中,テクスチャ解像度に注意,,,,
pfft~,0,dac~,0,FFT処理から出力。スペクトル処理の結果を直接出力,1,1,中,CPU使用率に注意,,,,
patcher,0,poly~,0,パッチャーからポリフォニックインスタンス。サブパッチをボイスとして使用,1,0,中,インスタンス数の制限に注意,,,,
gen~,0,gen~,0,gen~オブジェクト間の接続。DSPネットワークの構築,1,1,中,再帰的な接続は避ける,,,,
jit.gen,0,jit.gen,0,jit.genオブジェクト間の接続。GPUシェーダーチェーン,1,0,中,GPUメモリとシェーダー複雑性に注意,,,,
multislider,0,table,0,マルチスライダーからテーブル。複数値の転送と格納,1,0,低,要素数の一致が必要,,,,
noteout,0,midiout,0,MIDIノートデータからMIDI出力。MIDIデータのルーティング,1,0,低,外部MIDI機器またはIAC必要,,,,
unpack,0,pack,0,データ分解と再構成。複合メッセージの処理パターン,1,0,低,要素数とデータ型に注意,,,,
jit.window,0,jit.pwindow,0,Jitter専用ウィンドウからパッチャーウィンドウ。表示方法の変更,0,0,低,jit.pwindowは古い方式,,,,
jit.matrix,0,jit.qt.record,0,マトリックスから動画録画。プロセス映像の保存,1,0,高,ディスクI/Oに注意,,,,
midiparse,0,stripnote,0,MIDI解析から重複抑制。MIDIストリームの処理,1,0,低,なし,,,,
