name,description,category,min_max_version,max_max_version,inlets,outlets,is_ui_object,is_deprecated,recommended_alternative
jit.matrix,Jitterマトリックスデータ構造を作成・処理。行列形式でビデオ・画像データを保持し操作する,jitter/data,5.0,8.5,2,2,FALSE,FALSE,NULL
live.gain~,オーディオゲインコントロールとメーター。垂直または水平スライダーとレベルメーターを表示,audio/ui,6.0,8.5,2,2,TRUE,FALSE,NULL
metro,一定の間隔でバンを出力。ミリ秒単位でタイミング指定可能,timing,4.0,8.5,2,1,FALSE,FALSE,NULL
cycle~,サイン波発生器。周波数とオフセット調整可能,audio/gen,4.0,8.5,2,1,FALSE,FALSE,NULL
buffer~,オーディオサンプルをRAMに保存。読み書きや波形表示が可能,audio/buffer,4.0,8.5,1,0,FALSE,FALSE,NULL
gain~,オーディオシグナルのゲイン調整。複数チャンネル対応,audio,4.0,8.5,2,1,FALSE,FALSE,live.gain~
pan~,オーディオシグナルのパンニング。ステレオフィールド上で配置,audio,4.0,8.5,2,2,FALSE,FALSE,NULL
delay~,オーディオシグナルの遅延。ミリ秒単位で調整可能,audio/delay,4.0,8.5,2,1,FALSE,FALSE,NULL
jit.gl.render,OpenGLレンダリングコンテキストを提供。3Dグラフィックス用,jitter/gl,5.0,8.5,1,1,FALSE,FALSE,NULL
dict,ディクショナリデータ構造。キーと値のペアを保存,data,6.0,8.5,1,1,FALSE,FALSE,NULL
coll,コレクションデータ構造。インデックス付きデータを保存,data,4.0,8.5,1,1,FALSE,FALSE,dict
counter,数値カウンターに加算・減算。上限・下限・方向を設定可能,math,4.0,8.5,4,3,FALSE,FALSE,NULL
zl,リスト処理ユーティリティ。様々なリスト操作が可能,list,4.0,8.5,2,2,FALSE,FALSE,NULL
sprintf,フォーマット文字列に基づいてテキスト生成,text,4.0,8.5,9,1,FALSE,FALSE,NULL
scale,入力値を指定範囲から別の範囲にスケーリング,math,4.0,8.5,5,1,FALSE,FALSE,NULL
route,入力メッセージをタイプごとに振り分け,control,4.0,8.5,2,2,FALSE,FALSE,NULL
select,指定値と一致する入力値を検出,control,4.0,8.5,2,2,FALSE,FALSE,NULL
pack,複数の値を単一メッセージにまとめる,control,4.0,8.5,9,1,FALSE,FALSE,NULL
unpack,複合メッセージを個別の要素に分解,control,4.0,8.5,1,9,FALSE,FALSE,NULL
line~,指定時間内で値をリニア変化させるオーディオレートシグナル,audio/control,4.0,8.5,2,1,FALSE,FALSE,NULL
line,指定時間内で値をリニア変化させる制御レートシグナル,control,4.0,8.5,2,1,FALSE,FALSE,NULL
patcher,サブパッチャー。階層的なパッチ構造を作成,ui,4.0,8.5,9,9,TRUE,FALSE,NULL
poly~,ポリフォニック音声処理。複数インスタンスの同時処理,audio,5.0,8.5,1,1,FALSE,FALSE,NULL
gen~,サンプルレベルのDSP処理。カスタムオーディオアルゴリズム用,audio/gen,6.0,8.5,1,1,FALSE,FALSE,NULL
jit.op,マトリックス要素に対する演算操作。ピクセル単位の計算,jitter/math,5.0,8.5,2,1,FALSE,FALSE,NULL
jit.window,マトリックスデータの表示ウィンドウ,jitter/ui,5.0,8.5,1,1,TRUE,FALSE,NULL
jit.gen,GPUベースのシェーダー処理。カスタムビジュアル効果用,jitter/gen,6.0,8.5,1,1,FALSE,FALSE,NULL
umenu,ドロップダウンメニュー。選択肢リストから項目を選択,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
live.dial,円形ダイヤル。パラメータ値の調整と表示,ui,6.0,8.5,1,2,TRUE,FALSE,NULL
live.text,テキスト表示ボタン。カスタマイズ可能なテキスト表示,ui,6.0,8.5,1,1,TRUE,FALSE,NULL
live.tab,タブセレクター。複数のタブから選択,ui,6.0,8.5,1,1,TRUE,FALSE,NULL
multislider,複数値のスライダー。グラフィカルな値の配列を表示・編集,ui,4.0,8.5,1,1,TRUE,FALSE,NULL
kslider,鍵盤インターフェース。MIDIノート入力や表示,ui/midi,4.0,8.5,1,2,TRUE,FALSE,NULL
mc.pack~,複数のシグナルをマルチチャンネル信号にまとめる,audio/mc,7.0,8.5,16,1,FALSE,FALSE,NULL
mc.unpack~,マルチチャンネル信号を個別のシグナルに分解,audio/mc,7.0,8.5,1,16,FALSE,FALSE,NULL
mc.mixdown~,マルチチャンネル信号をステレオにダウンミックス,audio/mc,7.0,8.5,1,2,FALSE,FALSE,NULL
bach.roll,音符を時間軸上に配置する拡張音楽記譜インターフェース,bach/notation,4.0,8.5,1,6,TRUE,FALSE,NULL
fluid.dataset~,機械学習のデータセット管理,ml.lib/data,8.0,8.5,1,2,FALSE,FALSE,NULL
fluid.mlpregressor~,多層パーセプトロンによる回帰モデル,ml.lib/ml,8.0,8.5,1,2,FALSE,FALSE,NULL
jit.mgraphics,2D描画コンテキスト。ベクターグラフィックスの作成,jitter/graphics,6.0,8.5,1,1,FALSE,FALSE,NULL
min.hello-world,Post to the Max Console。基本的なメッセージ表示のサンプル,min/utilities,7.0,8.5,1,1,FALSE,FALSE,NULL
min.beat.pattern,Generate patterns for sequencing。リズムパターン生成,min/timing,7.0,8.5,1,1,FALSE,FALSE,NULL
min.dict.join,Join dictionaries together。辞書オブジェクトの結合,min/dict,7.0,8.5,2,1,FALSE,FALSE,NULL
min.buffer.loop~,Loop through a buffer with variable speed。バッファ再生,min/audio,7.0,8.5,1,1,FALSE,FALSE,NULL
min.edge~,Detect signal transitions from non-zero to zero。エッジ検出,min/audio,7.0,8.5,1,1,FALSE,FALSE,NULL
min.jit.stencil,Apply stencil operations to Jitter matrices。マトリックス操作,min/jitter,7.0,8.5,1,1,FALSE,FALSE,NULL
mxj,Java言語でのMaxオブジェクト実装。Javaクラスをロード,java,4.5,8.5,9,9,FALSE,FALSE,NULL
js,JavaScript言語でのMaxオブジェクト実装。JSコードを実行,javascript,4.5,8.5,9,9,FALSE,FALSE,NULL
node.script,Node.js言語でのMaxオブジェクト実装。Node.jsを実行,nodejs,7.0,8.5,9,9,FALSE,FALSE,NULL
vst~,VSTプラグインをロード。オーディオエフェクト処理,audio/plugins,5.0,8.5,1,2,FALSE,FALSE,NULL
plugout~,オーディオをDAWへルーティング。ReWireプロトコル対応,audio/rewire,5.0,8.5,8,0,FALSE,TRUE,NULL
adc~,オーディオ入力。コンピュータの入力ソースからの音声取得,audio/io,4.0,8.5,1,16,FALSE,FALSE,NULL
dac~,オーディオ出力。コンピュータの出力デバイスへの音声送信,audio/io,4.0,8.5,16,0,FALSE,FALSE,NULL
